,890,3482,1800,6061,2018,3134,974,5545,3506,2072,4336,2129,6423,1103,7024,2337,3367,2470,5658,1169,5395,668,5892,252,5921,2638,5615,7504,1192,4526,744,7030,1354,5738,2814,5129,1415,5246,781,7017,370,3310,26,7429,171,1718,5439,2925,2980,1792,3527,114,5796,7973,5275,7627,7016,8995,3009,8967,2986,8626,6063,7940,6266,8086,3967,8419,6578,7850,5450,9121,4357,9001,4297,7739,7965,3849,9134,7108,8767,8829,7900,8467,9971,8236,7541,8243,7680,7731,9052,7560,7741,8317,8084,545,3723
8829,0(0.92),-,1(0.94),-,-,0(0.92),-,0(0.99),0(0.9),-,-,0(0.91),0(0.92),0(0.93),-,-,0(0.9),0(0.93),0(0.9),-,0(0.9),0(0.93),0(0.91),0(0.92),-,0(0.92),0(0.97),0(0.92),0(0.9),-,0(0.93),0(0.92),-,0(1.0),-,0(0.92),-,0(0.93),-,0(0.92),-,-,-,0(0.9),0(0.9),0(0.9),0(0.92),0(0.91),0(1.0),0(0.93),0(1.02),-,0(0.93),-,0(0.91),0(0.94),-,-,-,0(0.97),0(0.91),-,0(0.91),0(0.93),-,-,-,0(0.91),0(0.9),0(0.92),60(0.94),0(0.91),0(0.93),-,0(0.93),-,-,-,-,0(0.93),-,0.0,0(0.9),-1(0.96),0(0.9),0(0.91),-,-,0(0.91),0(0.91),0(0.91),0(0.93),0(0.91),-,-,0(0.92),-
7900,0(1.08),-,0(0.95),-,0(0.97),0(1.06),-,0(1.12),0(1.03),0(1.01),0(0.93),0(1.05),-6(1.0),0(1.09),-,0(0.91),0(1.02),0(1.09),0(1.05),0(0.9),0(0.96),0(1.07),0(1.05),0(1.07),0(0.93),0(1.11),0(1.2),0(1.07),0(1.02),0(0.91),-8(0.98),0(1.08),0(0.97),0(0.97),-1(0.95),0(1.07),0(0.9),0(1.09),0(0.9),-,0(0.92),0(1.0),-,0(1.01),0(1.02),0(1.02),0(1.07),0(0.96),0(1.33),0(1.09),0(0.99),-,0(1.12),-,0(1.03),0(1.14),-,0(0.91),-,0(1.21),0(1.05),0(0.99),0(1.04),0(1.1),0(0.92),0(1.02),0(1.0),0(0.98),0(1.02),0(1.08),0(1.02),0(1.06),0(1.09),-,0(1.13),0(0.92),0(1.01),-,-,0(1.11),0(0.94),0(0.9),0.0,0(0.96),0(1.02),0(1.03),0(0.94),0(0.92),0(1.06),0(1.04),0(1.03),0(1.03),0(1.04),0(0.94),0(0.99),0(1.1),-
8467,0(1.0),-1(0.99),0(1.47),-1(0.97),0(0.92),0(1.01),-1(0.93),-1(1.43),0(0.97),12(0.94),-1(1.03),0(0.98),3(1.26),0(1.04),-1(0.91),-1(1.01),0(0.96),-1(1.06),12(0.95),-1(1.0),-1(1.05),-1(1.08),0(0.97),0(1.02),-1(0.96),0(1.0),-1(1.13),0(0.99),0(0.96),-1(0.96),2(1.38),0(0.99),0(0.93),-1(1.76),-1(0.97),0(1.0),-,-1(1.07),-1(0.95),-1(1.23),-1(1.03),0(0.94),-,0(1.01),0(0.97),0(0.95),0(1.02),-1(1.08),0(1.13),0(1.02),-1(1.89),-1(0.93),0(1.0),-1(0.96),0(0.98),0(1.04),-1(0.93),-1(0.97),-,-1(1.13),0(1.0),0(0.96),0(0.97),0(1.02),-1(0.97),0(0.94),0(0.95),-1(1.1),0(0.96),0(1.02),58(0.97),0(0.99),-1(1.03),-1(0.94),0(1.01),-1(1.0),0(0.96),-1(0.96),-1(0.94),0(1.03),-1(1.03),-1(0.96),0(0.96),0.0,0(0.97),0(0.97),1(1.0),1(0.98),0(0.99),0(1.0),0(0.97),1(1.16),0(0.97),1(1.03),0(0.96),0(0.99),-
9971,0(1.08),-,0(0.96),0(0.9),0(0.97),0(1.06),-,0(1.13),0(1.02),0(1.01),0(0.93),0(1.05),-6(0.99),0(1.08),-,0(0.91),0(1.02),0(1.09),0(1.05),0(0.9),0(0.96),0(1.07),0(1.05),0(1.07),0(0.93),0(1.1),0(1.19),0(1.06),0(1.02),0(0.91),0(0.98),0(1.07),0(0.97),0(1.0),-1(0.95),0(1.07),0(0.9),0(1.09),0(0.9),0(0.91),0(0.92),0(0.99),-,0(1.01),0(1.01),0(1.02),0(1.06),0(0.96),0(1.33),0(1.08),0(1.02),-,0(1.11),-,0(1.03),0(1.14),-,0(0.91),-,0(1.2),0(1.05),0(0.99),0(1.03),0(1.09),0(0.92),0(1.02),0(0.99),0(0.98),0(1.02),0(1.08),0(1.01),0(1.06),0(1.09),-,0(1.12),0(0.93),0(1.01),-,-,0(1.1),0(0.94),0(0.9),0(1.02),0(0.97),0.0,0(1.03),0(0.94),0(0.92),0(1.05),0(1.04),0(1.03),0(1.03),0(1.04),0(0.94),0(0.99),0(1.1),-
8236,0(1.09),0(0.9),0(0.97),0(0.9),0(0.97),0(1.07),-,0(1.14),0(1.03),0(1.01),0(0.94),0(1.05),0(1.0),0(1.09),-,0(0.92),0(1.02),0(1.1),0(1.05),0(0.91),0(0.96),0(1.08),0(1.06),0(1.08),0(0.93),0(1.11),0(1.21),0(1.07),0(1.02),0(0.91),0(0.99),0(1.08),0(0.98),0(1.0),-1(0.96),0(1.08),0(0.9),0(1.1),0(0.9),0(0.91),0(0.92),0(1.0),-,0(1.02),0(1.02),0(1.03),0(1.07),0(0.96),0(1.34),0(1.09),0(1.02),-,0(1.12),-,0(1.04),0(1.15),-,0(0.91),-,0(1.22),0(1.06),0(0.99),0(1.04),0(1.1),0(0.92),0(1.02),0(1.0),0(0.99),0(1.02),0(1.09),0(1.02),0(1.06),0(1.09),-,0(1.14),0(0.93),0(1.01),-,-,0(1.11),0(0.94),0(0.91),0(1.03),0(0.97),0(1.03),0.0,0(0.94),0(0.92),0(1.06),0(1.05),0(1.04),0(1.04),0(1.05),0(0.94),0(0.99),0(1.11),-
7541,0(0.96),-,1(0.98),-,0(0.91),0(0.96),-,0(1.07),0(0.94),0(0.92),0(0.91),0(0.95),0(0.96),0(0.98),-,0(0.9),0(0.93),0(0.98),0(0.94),-,0(0.93),0(0.98),0(0.95),0(0.97),0(0.9),0(0.97),0(1.04),0(0.96),0(0.93),-,0(0.96),0(0.96),0(0.91),0(1.07),-1(0.91),0(0.96),-,0(0.98),-,0(0.95),0(0.91),0(0.92),-,0(0.94),0(0.93),0(0.93),0(0.96),0(0.94),0(1.09),0(0.97),0(1.1),-,0(0.98),-,0(0.94),0(1.0),-,-,-,0(1.04),0(0.96),0(0.92),0(0.94),0(0.98),0(0.9),0(0.93),0(0.92),0(0.95),0(0.93),0(0.97),60(0.95),0(0.96),0(0.98),-,0(0.99),0(0.91),0(0.93),-,-,0(0.98),0(0.92),-,0(0.94),1(1.0),0(0.94),0(0.94),0.0,0(0.9),0(0.96),0(0.95),0(0.94),0(0.98),0(0.95),0(0.92),0(0.92),0(0.97),-
8243,0(0.94),-,1(0.96),-,-,0(0.94),-,0(1.03),0(0.92),0(0.91),0(0.9),0(0.93),0(0.93),0(0.95),-,-,0(0.92),0(0.96),0(0.92),-,0(0.91),0(0.95),0(0.93),0(0.94),-,0(0.95),0(1.0),0(0.94),0(0.92),-,0(0.95),0(0.94),-,0(1.03),-,0(0.94),-,0(0.96),-,0(0.93),-,0(0.9),-,0(0.92),0(0.92),0(0.92),0(0.94),0(0.92),0(1.04),0(0.95),0(1.06),-,0(0.95),-,0(0.92),0(0.97),-,-,-,0(1.01),0(0.93),0(0.91),0(0.92),0(0.95),-,0(0.91),0(0.91),0(0.93),0(0.92),0(0.95),60(0.93),0(0.93),0(0.95),-,0(0.96),-,0(0.91),-,-,0(0.96),0(0.91),-,0(0.92),1(0.98),0(0.92),0(0.92),0(0.9),0.0,0(0.93),0(0.93),0(0.92),0(0.95),0(0.93),0(0.9),0(0.91),0(0.94),-
7680,0(1.12),0(0.91),0(0.99),0(0.91),0(0.99),0(1.1),-,0(1.19),0(1.06),0(1.04),0(0.95),0(1.09),0(1.03),0(1.13),-,0(0.93),0(1.05),0(1.14),0(1.08),0(0.92),0(0.98),0(1.11),0(1.09),0(1.11),0(0.95),0(1.15),0(1.26),0(1.1),0(1.05),0(0.92),0(1.02),0(1.11),0(1.0),0(1.02),-1(0.97),0(1.11),0(0.91),0(1.13),0(0.91),0(0.92),0(0.94),0(1.02),-,0(1.04),0(1.05),0(1.05),0(1.1),0(0.98),0(1.41),0(1.13),0(1.04),-,0(1.16),0(0.91),0(1.06),0(1.19),-,0(0.92),-,0(1.27),0(1.09),0(1.02),0(1.07),0(1.14),0(0.94),0(1.05),0(1.02),0(1.01),0(1.05),0(1.12),0(1.05),0(1.1),0(1.13),-,0(1.18),0(0.94),0(1.04),0(0.91),-,0(1.15),0(0.96),0(0.91),0(1.06),0(0.99),0(1.05),0(1.06),0(0.96),0(0.93),0.0,0(1.08),0(1.07),0(1.07),0(1.07),0(0.96),0(1.02),0(1.14),-
7731,0(1.1),0(0.91),0(0.99),0(0.91),0(0.98),0(1.08),-,0(1.19),0(1.04),0(1.02),0(0.95),0(1.07),0(1.02),0(1.11),-,0(0.93),0(1.03),0(1.12),0(1.06),0(0.92),0(0.98),0(1.1),0(1.07),0(1.09),0(0.94),0(1.12),0(1.23),0(1.09),0(1.03),0(0.92),0(1.01),0(1.09),0(0.98),0(1.06),-1(0.96),0(1.09),0(0.9),0(1.12),0(0.91),0(0.94),0(0.94),0(1.01),-,0(1.03),0(1.03),0(1.04),0(1.09),0(0.98),0(1.37),0(1.11),0(1.09),-,0(1.14),0(0.91),0(1.05),0(1.17),-,0(0.92),-,0(1.24),0(1.08),0(1.0),0(1.05),0(1.12),0(0.93),0(1.03),0(1.01),0(1.0),0(1.04),0(1.1),0(1.03),0(1.08),0(1.11),-,0(1.15),0(0.94),0(1.02),0(0.91),-,0(1.13),0(0.96),0(0.91),0(1.04),0(1.0),0(1.04),0(1.05),0(0.95),0(0.93),0(1.08),0.0,0(1.05),0(1.06),0(1.06),0(0.95),0(1.0),0(1.12),-
9052,0(1.09),0(0.9),0(0.96),0(0.9),0(0.98),0(1.07),-,0(1.14),0(1.03),0(1.02),0(0.94),0(1.06),-6(1.01),0(1.1),-,0(0.92),0(1.03),0(1.1),0(1.06),0(0.91),0(0.96),0(1.08),0(1.06),0(1.08),0(0.93),0(1.11),0(1.21),0(1.08),0(1.03),0(0.91),-8(0.99),0(1.09),0(0.98),0(0.99),-1(0.96),0(1.08),0(0.91),0(1.1),0(0.9),0(0.9),0(0.92),0(1.0),-,0(1.02),0(1.02),0(1.03),0(1.07),0(0.96),0(1.35),0(1.1),0(1.01),-,0(1.13),-,0(1.04),0(1.15),-,0(0.91),-,0(1.22),0(1.06),0(1.0),0(1.05),0(1.11),0(0.92),0(1.03),0(1.0),0(0.99),0(1.03),0(1.09),0(1.02),0(1.07),0(1.1),-,0(1.14),0(0.93),0(1.02),-,-,0(1.12),0(0.95),0(0.91),0(1.03),0(0.97),0(1.03),0(1.04),0(0.94),0(0.92),0(1.07),0(1.05),0.0,0(1.04),0(1.05),0(0.94),0(1.0),0(1.11),-
7560,0(1.08),0(0.94),1(1.1),0(0.94),0(0.97),0(1.08),-,0(1.29),0(1.03),0(0.99),0(0.98),0(1.06),0(1.05),0(1.11),-,0(0.96),0(1.02),0(1.13),0(1.04),0(0.95),0(1.01),0(1.11),0(1.05),0(1.09),0(0.96),0(1.09),0(1.23),0(1.07),0(1.02),0(0.94),3(1.06),0(1.08),0(0.97),0(1.3),-1(0.96),0(1.08),-,0(1.13),0(0.93),0(1.07),0(0.98),0(0.99),-,0(1.04),0(1.02),0(1.02),0(1.09),0(1.03),0(1.33),0(1.1),0(1.36),0(0.91),0(1.12),0(0.93),0(1.04),0(1.15),0(0.91),0(0.94),-,0(1.24),0(1.07),0(1.0),0(1.04),0(1.11),0(0.95),0(1.01),0(1.0),0(1.05),0(1.02),0(1.1),0(1.0),0(1.06),0(1.11),0(0.91),0(1.12),0(0.97),0(1.01),0(0.93),0(0.91),0(1.12),0(0.99),0(0.93),0(1.03),1(1.16),0(1.03),0(1.04),0(0.98),0(0.95),0(1.07),0(1.06),0(1.04),0.0,0(1.05),0(0.99),0(1.0),0(1.09),-
7741,0(1.1),0(0.9),0(0.97),0(0.91),0(0.98),0(1.08),-,0(1.16),0(1.04),0(1.02),0(0.94),0(1.07),0(1.01),0(1.11),-,0(0.92),0(1.03),0(1.11),0(1.07),0(0.91),0(0.97),0(1.09),0(1.07),0(1.09),0(0.94),0(1.12),0(1.23),0(1.08),0(1.03),0(0.91),0(1.0),0(1.09),0(0.98),0(1.01),-1(0.96),0(1.09),0(0.91),0(1.11),0(0.91),0(0.91),0(0.93),0(1.01),-,0(1.03),0(1.03),0(1.03),0(1.08),0(0.97),0(1.37),0(1.11),0(1.03),-,0(1.14),0(0.9),0(1.05),0(1.17),-,0(0.91),-,0(1.24),0(1.07),0(1.0),0(1.05),0(1.12),0(0.93),0(1.03),0(1.01),0(0.99),0(1.03),0(1.1),0(1.03),0(1.08),0(1.11),-,0(1.15),0(0.93),0(1.02),0(0.9),-,0(1.13),0(0.95),0(0.91),0(1.04),0(0.97),0(1.04),0(1.05),0(0.95),0(0.93),0(1.07),0(1.06),0(1.05),0(1.05),0.0,0(0.95),0(1.0),0(1.12),-
8317,0(0.96),-,1(1.0),-,0(0.91),0(0.96),-,0(1.09),0(0.94),0(0.92),0(0.92),0(0.95),0(0.96),0(0.98),-,0(0.91),0(0.93),0(0.99),0(0.94),0(0.9),0(0.94),0(0.98),0(0.95),0(0.97),0(0.9),0(0.97),0(1.04),0(0.96),0(0.93),-,3(0.97),0(0.96),0(0.91),0(1.1),-1(0.91),0(0.96),-,0(0.99),-,0(0.97),0(0.92),0(0.92),-,0(0.94),0(0.93),0(0.93),0(0.97),0(0.94),0(1.09),0(0.97),0(1.14),-,0(0.98),-,0(0.94),0(1.0),-,-,-,0(1.05),0(0.96),0(0.92),0(0.94),0(0.98),0(0.91),0(0.93),0(0.92),0(0.95),0(0.93),0(0.97),60(0.94),0(0.96),0(0.98),-,0(0.99),0(0.91),0(0.93),-,-,0(0.98),0(0.93),-,0(0.94),1(1.03),0(0.94),0(0.94),0(0.92),0(0.9),0(0.96),0(0.95),0(0.94),0(0.99),0(0.95),0.0,0(0.93),0(0.96),-
8084,0(1.03),-,0(0.96),-,0(0.95),0(1.02),-,0(1.09),0(0.99),0(0.97),0(0.92),0(1.01),0(0.97),0(1.04),-,0(0.91),0(0.98),0(1.05),0(1.0),-,0(0.94),0(1.03),0(1.01),0(1.03),0(0.92),0(1.05),0(1.13),0(1.02),0(0.98),-,0(0.97),0(1.03),0(0.95),0(1.0),-1(0.93),0(1.03),-,0(1.04),-,0(0.91),0(0.91),0(0.96),-,0(0.98),0(0.98),0(0.99),0(1.02),0(0.94),0(1.23),0(1.04),0(1.02),-,0(1.06),-,0(0.99),0(1.08),-,0(0.9),-,0(1.14),0(1.01),0(0.96),0(1.0),0(1.05),0(0.91),0(0.98),0(0.97),0(0.96),0(0.98),0(1.03),0(0.98),0(1.02),0(1.04),-,0(1.07),0(0.91),0(0.98),-,-,0(1.05),0(0.93),-,0(0.99),0(0.96),0(0.99),0(0.99),0(0.92),0(0.91),0(1.02),0(1.0),0(1.0),0(1.0),0(1.0),0(0.93),0.0,0(1.05),-
545,0(1.18),0(0.91),0(0.98),0(0.91),0(1.02),0(1.14),-,0(1.21),0(1.1),0(1.08),0(0.96),0(1.13),-6(1.04),0(1.18),-,0(0.93),0(1.09),0(1.19),0(1.14),0(0.92),0(0.99),0(1.15),0(1.14),0(1.16),0(0.96),0(1.22),0(1.34),0(1.16),0(1.09),0(0.92),-8(1.03),0(1.17),0(1.03),0(0.97),-1(1.0),0(1.17),0(0.93),0(1.18),0(0.92),-,0(0.94),0(1.06),-,0(1.08),0(1.09),0(1.09),0(1.15),0(0.99),0(1.53),0(1.18),0(0.98),-,0(1.23),0(0.91),0(1.11),0(1.27),0(0.9),0(0.93),-,0(1.35),0(1.14),0(1.05),0(1.12),0(1.2),0(0.94),0(1.09),0(1.06),0(1.02),0(1.09),0(1.17),0(1.1),0(1.15),0(1.18),-,0(1.25),0(0.95),0(1.08),0(0.91),-,0(1.21),0(0.97),0(0.92),0(1.1),0(0.99),0(1.1),0(1.11),0(0.97),0(0.94),0(1.14),0(1.12),0(1.11),0(1.09),0(1.12),0(0.96),0(1.05),0.0,-
3723,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.94),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
